date,stock,value,change
2019-08-06,ISHARES DIGITAL ETF,5.89,0.005119453924914641
2019-08-07,ISHARES DIGITAL ETF,5.91,0.00339558573853993
2019-08-07,AMD,26.13,0.01396973224679865
2019-08-08,ISHARES DIGITAL ETF,6.02,0.018612521150592087
2019-08-08,AMD,30.34,0.16111748947569837
2019-08-09,AMD,30.5,0.005273566249176076
2019-08-09,ISHARES DIGITAL ETF,5.99,-0.004983388704318803
2019-08-10,ISHARES DIGITAL ETF,5.99,0.0
2019-08-11,ISHARES DIGITAL ETF,5.97,-0.0033388981636061077
2019-08-12,ISHARES DIGITAL ETF,5.89,-0.01340033500837523
2019-08-12,AMD,28.93,-0.05147540983606558
2019-08-13,ISHARES DIGITAL ETF,5.88,-0.001697792869269965
2019-08-13,AMD,28.73,-0.006913238852402359
2019-08-14,ISHARES DIGITAL ETF,5.86,-0.00340136054421758
2019-08-14,AMD,27.16,-0.054646710755308026
2019-08-15,AMD,26.68,-0.0176730486008837
2019-08-15,ISHARES DIGITAL ETF,5.83,-0.005119453924914752
2019-08-16,ISHARES DIGITAL ETF,5.92,0.015437392795883298
2019-08-16,AMD,28.1,0.05322338830584705
2019-08-17,ISHARES DIGITAL ETF,5.94,0.0033783783783785104
2019-08-18,ISHARES DIGITAL ETF,5.94,0.0
2019-08-19,ISHARES DIGITAL ETF,5.98,0.006734006734006703
2019-08-19,AMD,28.41,0.011032028469750932
2019-08-20,ISHARES DIGITAL ETF,5.95,-0.0050167224080267525
2019-08-20,AMD,27.67,-0.02604716649067229
2019-08-21,AMD,28.59,0.03324900614383797
2019-08-21,ISHARES DIGITAL ETF,6.05,0.01680672268907557
2019-08-22,AMD,28.79,0.006995452955578907
2019-08-22,ISHARES DIGITAL ETF,6.0,-0.008264462809917328
2019-08-23,ISHARES DIGITAL ETF,5.88,-0.020000000000000018
2019-08-23,AMD,26.43,-0.08197290725946504
2019-08-24,ISHARES DIGITAL ETF,5.8,-0.013605442176870763
2019-08-25,ISHARES DIGITAL ETF,5.87,0.012068965517241459
2019-08-26,ISHARES DIGITAL ETF,5.93,0.010221465076660996
2019-08-26,AMD,27.29,0.03253878168747626
2019-08-27,ISHARES DIGITAL ETF,5.93,0.0
2019-08-27,AMD,27.23,-0.0021986075485525003
2019-08-28,ISHARES DIGITAL ETF,5.9,-0.005059021922428242
2019-08-28,AMD,27.79,0.020565552699228773
2019-08-29,ISHARES DIGITAL ETF,6.0,0.016949152542372836
2019-08-29,AMD,28.44,0.023389708528247732
2019-08-30,ISHARES DIGITAL ETF,6.04,0.006666666666666599
2019-08-30,AMD,28.6,0.005625879043600568
2019-08-31,ISHARES DIGITAL ETF,6.03,-0.0016556291390728006
2019-09-01,ISHARES DIGITAL ETF,6.01,-0.0033167495854063977
2019-09-02,ISHARES DIGITAL ETF,6.03,0.0033277870216306127
2019-09-02,AMD,28.1,-0.0174825174825175
2019-09-03,ISHARES DIGITAL ETF,6.01,-0.0033167495854063977
2019-09-03,AMD,28.18,0.002846975088967918
2019-09-04,AMD,28.05,-0.004613200851667831
2019-09-04,ISHARES DIGITAL ETF,6.03,0.0033277870216306127
2019-09-05,AMD,28.54,0.0174688057040997
2019-09-05,ISHARES DIGITAL ETF,6.1,0.011608623548921893
2019-09-06,AMD,27.69,-0.029782761037140726
2019-09-06,ISHARES DIGITAL ETF,6.15,0.00819672131147553
2019-09-07,ISHARES DIGITAL ETF,6.15,0.0
2019-09-08,ISHARES DIGITAL ETF,6.15,0.0
2019-09-09,AMD,27.6,-0.00325027085590468
2019-09-09,ISHARES DIGITAL ETF,6.12,-0.004878048780487809
2019-09-10,AMD,27.4,-0.007246376811594346
2019-09-10,ISHARES DIGITAL ETF,6.06,-0.009803921568627527
2019-09-11,ISHARES DIGITAL ETF,6.15,0.014851485148514865
2019-09-11,AMD,27.04,-0.0131386861313868
2019-09-12,AMD,27.31,0.009985207100591698
2019-09-12,ISHARES DIGITAL ETF,6.14,-0.001626016260162677
2019-09-13,AMD,27.72,0.015012815818381542
2019-09-13,ISHARES DIGITAL ETF,6.12,-0.0032573289902279035
2019-09-16,AMD,28.0,0.010101010101010166
2019-09-16,ISHARES DIGITAL ETF,6.14,0.0032679738562091387
2019-09-17,AMD,27.99,-0.0003571428571429447
2019-09-17,ISHARES DIGITAL ETF,6.13,-0.0016286644951140072
2019-09-18,AMD,27.58,-0.01464808860307254
2019-09-18,ISHARES DIGITAL ETF,6.13,0.0
2019-09-19,AMD,27.41,-0.00616388687454672
2019-09-19,ISHARES DIGITAL ETF,6.15,0.0032626427406199365
2019-09-20,ISHARES DIGITAL ETF,6.11,-0.006504065040650375
2019-09-20,AMD,27.26,-0.005472455308281554
2019-09-21,ISHARES DIGITAL ETF,6.1,-0.0016366612111293755
2019-09-22,ISHARES DIGITAL ETF,6.12,0.003278688524590345
2019-09-23,ISHARES DIGITAL ETF,6.11,-0.0016339869281045694
2019-09-23,AMD,27.86,0.022010271460014552
2019-09-24,ISHARES DIGITAL ETF,6.0,-0.018003273322422353
2019-09-24,AMD,26.8,-0.03804737975592243
2019-09-25,ISHARES DIGITAL ETF,6.08,0.01333333333333342
2019-09-25,AMD,26.98,0.006716417910447747
2019-09-26,ISHARES DIGITAL ETF,6.09,0.00164473684210531
2019-09-26,AMD,26.99,0.0003706449221645425
2019-09-27,AMD,26.25,-0.027417562060022216
2019-09-27,ISHARES DIGITAL ETF,6.0,-0.014778325123152691
2019-09-28,ISHARES DIGITAL ETF,6.0,0.0
2019-09-29,ISHARES DIGITAL ETF,6.06,0.010000000000000009
2019-09-30,ISHARES DIGITAL ETF,6.05,-0.0016501650165016146
2019-09-30,AMD,26.6,0.01333333333333342
2019-10-01,AMD,26.29,-0.011654135338345917
2019-10-01,ISHARES DIGITAL ETF,6.04,-0.0016528925619834212
2019-10-02,ISHARES DIGITAL ETF,5.89,-0.024834437086092787
2019-10-02,AMD,25.84,-0.0171167744389501
2019-10-03,ISHARES DIGITAL ETF,5.89,0.0
2019-10-03,AMD,26.05,0.008126934984520107
2019-10-04,ISHARES DIGITAL ETF,6.02,0.022071307300509213
2019-10-04,AMD,26.41,0.013819577735124655
2019-10-05,ISHARES DIGITAL ETF,6.02,0.0
2019-10-06,ISHARES DIGITAL ETF,6.0,-0.0033222591362125353
2019-10-07,AMD,26.37,-0.0015145778114350472
2019-10-07,ISHARES DIGITAL ETF,6.03,0.0050000000000001155
